title,company,location,experience,min_experience,max_experience,salary,min_salary,max_salary,description,skills,posted_duration,job_url,search_keyword
Data Analyst,Credence Resource Management,Pune,3-6 Yrs,3.0,6.0,Not Specified,,,"Hands-on experience with Power BI, Tableau, SQL Server, Snowflake, RedshiftBachelors or...","['Dba', 'Data Analytics', 'Data Pipelines', 'Ai', 'Edi', 'Data Engineering', 'Data Analyst']",1 day ago,https://www.naukri.com/job-listings-data-analyst-credence-resource-management-pvt-ltd-pune-3-to-6-years-140726502840,data analyst
Online Data Analyst Bengali (IN),TELUS Digital,Remote,0-5 Yrs,0.0,5.0,Not Specified,,,This freelance opportunity allows you to work at your own pace and from home. . A day i...,"['Bengali', 'Language Editing', 'Power BI', 'Content Editing', 'Artificial Intelligence', 'Bengali Content', 'Language Expert', 'Data Analytics']",1 week ago,https://www.naukri.com/job-listings-online-data-analyst-bengali-in-telus-digital-india-0-to-5-years-070726015044,data analyst
Data Analyst - Power Transformer,Hitachi Energy,Vadodara,2-7 Yrs,2.0,7.0,Not Specified,,,"Graduate in Mechanical, Electrical or Data Science Engineering having 2-7 years of expe...","['Data Analytics', 'Due Diligence', 'Sap', 'Hp Data Protector', 'Data Privacy', 'Business Intelligence', 'Business Case']",6 days ago,https://www.naukri.com/job-listings-data-analyst-power-transformer-hitachi-energy-vadodara-2-to-7-years-080726502758,data analyst
Data Analyst,Tata Consultancy Services,"Hyderabad, Chennai, Bengaluru",6-11 Yrs,6.0,11.0,Not Specified,,,Job Description:The ideal person would be leading the analysis and data mapping to con...,"['Data Analytics', 'Data Modeling', 'Banking Domain', 'SQL', 'Dns', 'Modeling', 'Analytics']",Few hours ago,https://www.naukri.com/job-listings-data-analyst-abacus-service-hyderabad-chennai-bengaluru-6-to-11-years-150726011508,data analyst
Data Analyst,Nucleusteq Consulting,"Indore, Gurugram, Bengaluru, Raipur",4-8 Yrs,4.0,8.0,Not Specified,,,Locations: Bangalore | Indore | Raipur | Gurugram (Hybrid) Experience: 4 8 years Depart...,"['Data Analytics', 'Data Validation', 'Hr', 'Business Intelligence', 'Data Analyst', 'SQL', 'Analytics', 'Marketing']",1 day ago,https://www.naukri.com/job-listings-data-analyst-nucleusteq-indore-gurugram-bengaluru-raipur-4-to-8-years-140726503399,data analyst
Data Analyst,Goibibo,Gurugram,2-6 Yrs,2.0,6.0,Not Specified,,,". Engineering graduate with a strong analytical mindset, coupled with 2 - 6 years of ex...","['Tableau', 'SQL', 'Data Analytics', 'Python', 'Analytics', 'Analysis', 'Data']",4 days ago,https://www.naukri.com/job-listings-data-analyst-goibibo-gurugram-2-to-6-years-110526009306,data analyst
Data Analyst,Optum,Hybrid - Bengaluru,3-5 Yrs,3.0,5.0,15-20 Lacs PA,1500000.0,2000000.0,"Description - ExternalOptum is a global organization that delivers care, aided by tech...","['Data Analytics', 'Customer Journey Analytics', 'Adobe Analytics', 'Adobe', 'Analytics', 'Data']",1 week ago,https://www.naukri.com/job-listings-data-analyst-optum-bengaluru-3-to-5-years-010726014591,data analyst
Data Analyst,Guidehouse,Chennai,0-6 Yrs,0.0,6.0,Not Specified,,,"A bachelors degree in Computer Science, Information Management, Statistics, or a compar...","['Computer Science', 'Process Automation', 'San', 'Management Information System', 'Data Analytics', 'Coding', 'Staffing', 'Analytical']",4 days ago,https://www.naukri.com/job-listings-data-analyst-guidehouse-chennai-0-to-6-years-100726509842,data analyst
Data Analyst,Paisabazaar,Gurugram,1-3 Yrs,1.0,3.0,Not Specified,,,"Job Description-Roles and Responsibilities: Analyze raw data: data cleaning, structurin...","['Power BI', 'Machine Learning', 'Python', 'Predictive Modeling', 'Xgboost', 'Regression', 'Data Analytics', 'Random Forest']",4 days ago,https://www.naukri.com/job-listings-data-analyst-paisabazaar-gurugram-1-to-3-years-100726016081,data analyst
Data Analyst,MNC Group,Gurugram,0-1 Yrs,0.0,1.0,6-7 Lacs PA,600000.0,700000.0,Preferred candidate profile Official communications will only come from @persolkelly.co...,"['Generative Ai', 'Artificial Intelligence', 'Excel', 'Python', 'Vba', 'Macros', 'SQL', 'Data Analytics']",Few hours ago,https://www.naukri.com/job-listings-data-analyst-persol-gurugram-0-to-1-years-150526031938,data analyst
Data Analyst,Aidastech India,Coimbatore,1-2 Yrs,1.0,2.0,2.5-4.25 Lacs PA,250000.0,425000.0,"Required Skills: . Bachelors degree in science, Applied Mathematics, Statistics, Econom...","['Excel', 'Statistics', 'Python', 'SQL', 'Power BI', 'Data Analytics', 'Statistical Techniques']",2 days ago,https://www.naukri.com/job-listings-data-analyst-aidastech-india-coimbatore-1-to-2-years-130726008221,data analyst
Data Analyst,Guidehouse,Thiruvananthapuram,0-6 Yrs,0.0,6.0,Not Specified,,,"A bachelors degree in Computer Science, Information Management, Statistics, or a compar...","['Computer Science', 'Process Automation', 'San', 'Management Information System', 'Data Analytics', 'Coding', 'Staffing', 'Analytical']",4 days ago,https://www.naukri.com/job-listings-data-analyst-guidehouse-thiruvananthapuram-0-to-6-years-100726509845,data analyst
Data Analyst,Lloyds Technology Centre,Hybrid - Hyderabad,8-13 Yrs,8.0,13.0,Not Specified,,,"Python and SQL, Data modeller and data analysis, Data Mining, Statistical Analysis, Po...","['Python', 'Data Modeling', 'SQL', 'Modeling', 'Data Analytics', 'Data']",1 day ago,https://www.naukri.com/job-listings-data-analyst-lloyds-technology-centre-hyderabad-8-to-13-years-140726018537,data analyst
Data Analyst,Zynofus Technologies,Chennai,5-10 Yrs,5.0,10.0,Not Specified,,,Analyze complex business data to identify trends and patterns. Develop and maintain...,"['Database Maintenance', 'Python', 'Macros', 'Data Analytics', 'Documentation', 'Predictive Analytics', 'Machine Learning']",1 day ago,https://www.naukri.com/job-listings-data-analyst-zynofus-technologies-chennai-5-to-10-years-130726502380,data analyst
Data Analyst - 10th April - Virtual Interview - Pan India,Tata Consultancy Services,"India, Bengaluru, Mumbai (All Areas)",7-12 Yrs,7.0,12.0,Not Specified,,,"Hands-on experience with Databricks, Amazon Redshift, and RESTful APIsRequired Technica...","['Power BI', 'Tableau', 'Data Analytics', 'Analytics', 'Data', 'Interviewing']",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-10th-april-virtual-interview-pan-india-tata-consultancy-services-bengaluru-mumbai-all-areas-india-7-to-12-years-090426005873,data analyst
Data Analyst- SCM,Manufacturing Company,Bahadurgarh,5-8 Yrs,5.0,8.0,15-22.5 Lacs PA,1500000.0,2250000.0,"Bachelors degree in Engineering, Statistics, Mathematics, Computer Science, Business An...","['Power BI', 'Data Analytics', 'Excel', 'Supply Chain', 'SQL', 'Data Management', 'Demand Planning', 'Distribution Planning']",4 days ago,https://www.naukri.com/job-listings-data-analyst-scm-abs-groups-bahadurgarh-5-to-8-years-040726013297,data analyst
Data Analyst (MDM),Arrow Electronics,Hybrid - Bengaluru,5-10 Yrs,5.0,10.0,Not Specified,,,The Data Analyst is responsible for supporting and delivering value to the business th...,"['Informatica Mdm', 'Data Catalogs', 'SQL', 'Governance Tools', 'Governance', 'Data Analytics', 'Mdm', 'Catalog']",Just now,https://www.naukri.com/job-listings-data-analyst-mdm-arrow-electronics-bengaluru-5-to-10-years-150726013439,data analyst
Data Analyst,Solarsquare Energy,Mumbai,2-5 Yrs,2.0,5.0,Not Specified,,,Analyze complex data sets to identify trends and patterns that inform business decisi...,"['Database Maintenance', 'Macros', 'Python', 'Data Analytics', 'Pivot Table', 'Power BI', 'Vlookup']",1 day ago,https://www.naukri.com/job-listings-data-analyst-solarsquare-energy-mumbai-2-to-5-years-130726502391,data analyst
