title,company,location,experience,min_experience,max_experience,salary,min_salary,max_salary,description,skills,posted_duration,job_url,search_keyword
Business Analyst,Accenture,Gurugram,2-5 Yrs,2.0,5.0,Not Specified,,,Educational Qualification 15 years full time education. Summary A 15 years full time e...,"['Business Analyst', 'Operations', 'Business Process', 'Design', 'Business Processes', 'Analytical Skills', 'Research', 'Communication Skills']",1 day ago,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-gurugram-2-to-5-years-130726919925,business analyst
Business Analyst,EY,Kochi,5-8 Yrs,5.0,8.0,Not Specified,,,. Bachelors degree in a relevant field additional certifications in business analysis o...,"['Change Management', 'Assurance', 'Sap', 'Business Analysis', 'Project Management', 'Process Improvement', 'Consulting', 'System Integration']",1 day ago,https://www.naukri.com/job-listings-business-analyst-ernst-young-kochi-5-to-8-years-130726501998,business analyst
Urgent Requirement For Business Analyst Role,Genpact,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",5-10 Yrs,5.0,10.0,Not Specified,,,"Bachelor s degree in Finance / Supply Chain / Business Administration, or related field...","['S2P', 'Business Analyst', 'Brd', 'Requirement Gathering', 'Source To Pay', 'Frd', 'Pay', 'Requirements']",2 days ago,https://www.naukri.com/job-listings-urgent-requirement-for-business-analyst-role-genpact-hyderabad-bengaluru-delhi-ncr-5-to-10-years-130726008851,business analyst
Business Analyst,Paytm,Noida,1-4 Yrs,1.0,4.0,Not Specified,,,"Prior experience in fintech, consumer internet, or digital businesses will be preferred...","['SQL', 'Python', 'Business Analytics', 'Business Analysis', 'Analysis', 'Analytics']",1 week ago,https://www.naukri.com/job-listings-business-analyst-paytm-noida-1-to-4-years-030726026117,business analyst
Business Analyst,Accenture,Mumbai,18-23 Yrs,18.0,23.0,Not Specified,,,Project Role :Business Analyst Project Role Description :Analyze an organization and ...,"['Business Analyst', 'Design', 'Process Mapping', 'Analytical Skills', 'Business Processes', 'Business Models', 'Business Operations', 'Subject Matter Expert']",1 day ago,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-mumbai-18-to-23-years-130726927462,business analyst
Business Analyst,Accenture,Hyderabad,1-4 Yrs,1.0,4.0,Not Specified,,,Educational Qualification : 15 years full time education. Summary :As a Business Analys...,"['Business Solutions', 'Business Analysis', 'Business Requirement Analysis', 'Wealth Management', 'Information Gathering', 'Project Management', 'Gap Analysis', 'Documentation']",1 day ago,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-hyderabad-1-to-4-years-130726929748,business analyst
Business Analyst,Accenture,Mumbai,1-4 Yrs,1.0,4.0,Not Specified,,,About The Role Project Role :Business AnalystProject Role Description :Analyze an org...,"['Agile', 'Agile Methodologies', 'User Stories', 'Business Process', 'Data Analytics', 'Scrum', 'Business Process Modeling', 'Data']",1 day ago,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-mumbai-1-to-4-years-130726923491,business analyst
Business Analyst,Regalix,Bengaluru,4-9 Yrs,4.0,9.0,8-18 Lacs PA,800000.0,1800000.0,Certification in Project ManagementPreferred) . Experience: 4+ Years . Prior experience...,"['Communication Skills', 'Presentation Skills', 'Excel', 'Ms Office Tools', 'Management Skills', 'Power Point Presentation', 'Dashboards', 'Leadership Skills']",2 days ago,https://www.naukri.com/job-listings-business-analyst-regalix-bengaluru-4-to-9-years-130726008809,business analyst
Business Analyst,JSW Steel,Mumbai (All Areas),2-7 Yrs,2.0,7.0,12-20 Lacs PA,1200000.0,2000000.0,"Graduate / Post-graduate in Finance, Economics, Statistics, Engineering, or a related q...","['Business Analytics', 'Tableau', 'Bi Tools', 'Power BI', 'Requirement Gathering', 'Data Warehousing', 'Data Analytics', 'Business Analysis']",1 week ago,https://www.naukri.com/job-listings-business-analyst-jsw-steel-mumbai-all-areas-2-to-7-years-040526029588,business analyst
Business Analyst,Accenture,Pune,15-25 Yrs,15.0,25.0,Not Specified,,,Minimum . 15 year(s) of experience is required. Educational Qualification : 15 years fu...,"['Data Analytics', 'Business Analysis', 'Avaloq', 'Agile', 'Information Gathering', 'Project Management', 'Software Testing', 'Automation Testing']",1 day ago,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-pune-15-to-25-years-130726926025,business analyst
Business Analyst,Accenture,Hyderabad,3-8 Yrs,3.0,8.0,Not Specified,,,Minimum 3 year(s) of experience is required. Educational Qualification : 15 years full ...,"['Business Analyst', 'Spring Boot', 'Operations', 'Design', 'Business Processes', 'Analytical Skills', 'Research', 'Strategic Planning']",1 day ago,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-hyderabad-3-to-8-years-140726931220,business analyst
Business Analyst,Accenture,Bengaluru,5-10 Yrs,5.0,10.0,Not Specified,,,Educational Qualification : 15 years full time education. Summary: As a Business Analys...,"['Business Analyst', 'Operations', 'Design', 'Business Processes', 'Fa', 'Analytical Skills', 'Research', 'Communication Skills']",1 day ago,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-bengaluru-5-to-10-years-130726931412,business analyst
Business Analyst,Protiviti India,Mumbai (All Areas),0-2 Yrs,0.0,2.0,2-5 Lacs PA,200000.0,500000.0,"Strong understanding of SDLC and Agile delivery, and how BA responsibilities shift acro...","['Rpa Automation', 'Business Process Automation', 'Business Analysis', 'Business Process', 'Process', 'Rpa', 'Analysis', 'Automation']",6 days ago,https://www.naukri.com/job-listings-business-analyst-protiviti-india-mumbai-all-areas-0-to-2-years-090726013700,business analyst
Business Analyst,Paytm,Noida,4-8 Yrs,4.0,8.0,Not Specified,,,Experience with business analysis tools and techniques. . Strong attention to detail an...,"['Business Analyst', 'Business Processes', 'Business Operations', 'Communication And Interpersonal Skills', 'Business Analysis', 'Analysis', 'Interpersonal', 'Process']",1 day ago,https://www.naukri.com/job-listings-business-analyst-one97-communications-limited-noida-4-to-8-years-130726927048,business analyst
Business Analyst,Cognizant,Bengaluru,8-10 Yrs,8.0,10.0,Not Specified,,,Coordinate with data and reporting teams to define meaningful dashboards and reports fr...,"['Orchestration', 'Use Cases', 'Servicenow', 'Documentation', 'User Stories', 'Management', 'Acceptance Testing', 'Service Management']",2 days ago,https://www.naukri.com/job-listings-business-analyst-cognizant-bengaluru-8-to-10-years-130726004005,business analyst
Business Analyst,Atyati Technologies,Bengaluru,3-6 Yrs,3.0,6.0,Not Specified,,,Required Skills & Qualifications: . Educational Background: Bachelors degree in finance...,"['Lending', 'Business Analytics', 'Cbap', 'Waterfall', 'Loan Management System', 'Agile', 'Lending Products', 'Business Analysis']",4 days ago,https://www.naukri.com/job-listings-business-analyst-atyati-technologies-bengaluru-3-to-6-years-100726026895,business analyst
Business Analyst,Accenture,Pune,5-10 Yrs,5.0,10.0,Not Specified,,,Minimum 5 year(s) of experience is required. Educational Qualification : 15 years full ...,"['Business Analyst', 'Regulatory Knowledge', 'Compliance', 'Analytical Skills', 'Banking', 'Rtgs', 'Research', 'Payment Systems']",1 day ago,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-pune-5-to-10-years-130726924717,business analyst
Business Analyst,Skipper,Kolkata,5-10 Yrs,5.0,10.0,Not Specified,,,Male preferredPreferred candidate profile . MBA (Finance) or equivalent qualification f...,"['Cost Analysis', 'Power BI', 'Business Analytics', 'Analysis', 'Analytics', 'Cost', 'Business Analysis']",3 days ago,https://www.naukri.com/job-listings-business-analyst-skipper-kolkata-5-to-10-years-110726012236,business analyst
Business Analyst,Accenture,Chennai,5-10 Yrs,5.0,10.0,Not Specified,,,Minimum 5 year(s) of experience is required. Educational Qualification : 15 years full ...,"['Business Analyst', 'Switching', 'Operations', 'Design', 'Business Processes', 'Analytical Skills', 'Research', 'Architecture']",1 day ago,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-chennai-5-to-10-years-140726931639,business analyst
Business Analyst,National Institute for Smart Government (NISG),Bengaluru,6-8 Yrs,6.0,8.0,6-14 Lacs PA,600000.0,1400000.0,"Provide data analysis and reporting insights to stakeholders on project progress, ident...","['Economics', 'Agile Methodology', 'Project Management', 'Sla', 'Jira', 'Alm', 'Mis', 'Data Analyst']",1 day ago,https://www.naukri.com/job-listings-business-analyst-national-institute-for-smart-government-nisg-bengaluru-6-to-8-years-140726019130,business analyst
Business Analyst,Veniso Solutions,Hyderabad,0-1 Yrs,0.0,1.0,Not Specified,,,We are looking for an entry-level Business Analyst to support coordination between bus...,"['Digital', 'Process Integration', 'Data Analytics', 'Tools', 'Google Ads', 'Analytics', 'System', 'Tool Design']",5 days ago,https://www.naukri.com/job-listings-business-analyst-veniso-solutions-hyderabad-0-to-1-years-090726503851,business analyst
Business Analyst,Bottle Lab Technologies,Bengaluru,0-5 Yrs,0.0,5.0,Not Specified,,,Bachelors degree in any disciplineFresh graduates with strong analytical skills are als...,"['Data Analytics', 'Automation', 'Data Management', 'Business Analysis', 'Process Improvement', 'Analytical', 'Reconciliation', 'Service Industry']",1 week ago,https://www.naukri.com/job-listings-business-analyst-bottle-lab-technologies-pvt-ltd-smartq-bengaluru-0-to-5-years-070726501973,business analyst
Business Analyst,Hdfc Securities,Thane,0-3 Yrs,0.0,3.0,Not Specified,,,"Required Skills . . 3?5 years of experience as a Business Analyst, preferably Preferred...","['Trading', 'Documentation', 'Business Analysis', 'Uat', 'Ems', 'Market Data', 'Data Integrity', 'Capital Market']",1 week ago,https://www.naukri.com/job-listings-business-analyst-hdfc-securities-ltd-thane-0-to-3-years-060726505186,business analyst
Business Analyst,Kaspon,Chennai,0-5 Yrs,0.0,5.0,Not Specified,,,"The ideal candidate should have knowledge of LOS / LMS systems, NBFC workflows, and str...","['Business Analyst', 'Los', 'Ms Excel', 'Nbfc', 'Lms', 'Nbfc Workflows', 'Business Anlayst', 'Analytical Skills']",6 days ago,https://www.naukri.com/job-listings-business-analyst-kaspon-techwork-chennai-0-to-5-years-080726927128,business analyst
Business Analyst - Legal,Crisil,Hyderabad,4-9 Yrs,4.0,9.0,Not Specified,,,"Experience with SDLC, Agile, Waterfall, or hybrid project delivery methodologies","['Contract Management', 'Administration', 'Document Management', 'Contract Lifecycle Management', 'Business Analyst', 'Ediscovery', 'User Stories', 'Operations']",1 day ago,https://www.naukri.com/job-listings-business-analyst-legal-crisil-hyderabad-4-to-9-years-140726501209,business analyst
Business Analyst - Legal,Crisil,Hyderabad,4-9 Yrs,4.0,9.0,Not Specified,,,"Experience with SDLC, Agile, Waterfall, or hybrid project delivery methodologies","['Computer Science', 'Contract Management', 'Billing', 'Agile', 'Data Privacy', 'Document Management', 'Project Delivery', 'Legal Services']",1 day ago,https://www.naukri.com/job-listings-business-analyst-legal-crisil-hyderabad-4-to-9-years-130726501681,business analyst
Business Analyst,AIS Technolabs,Ahmedabad,3-5 Yrs,3.0,5.0,3.25-3.75 Lacs PA,325000.0,375000.0,Role & responsibilities Preferred candidate profile Job Title: Junior Business Analyst...,"['Business Analytics', 'Brd', 'Srs', 'Requirement Gathering', 'Frs', 'Fsd', 'Presales', 'Cost Estimation']",4 days ago,https://www.naukri.com/job-listings-business-analyst-ais-technolabs-ahmedabad-3-to-5-years-100726027139,business analyst
Business Analyst,Kaspon,Chennai,0-1 Yrs,0.0,1.0,Not Specified,,,"Business Analyst in NBFC/financial servicesKnowledge of LOS/LMS systems, NBFC workflows...","['Business Analyst', 'Los', 'Ms Excel', 'Nbfc', 'Lms', 'Nbfc Workflows', 'Analytical Skills', 'Financial Services']",6 days ago,https://www.naukri.com/job-listings-business-analyst-kaspontech-techworks-chennai-0-to-1-years-080726928191,business analyst
Business Analyst,Persistent,Pune,4-9 Yrs,4.0,9.0,Not Specified,,,"About Position: We are seeking a Business Analyst with strong expertise in gathering, a...","['Business Analytics', 'Power BI', 'Business Analysis', 'SQL', 'Analytics', 'Analysis']",1 week ago,https://www.naukri.com/job-listings-business-analyst-persistent-pune-4-to-9-years-030726019956,business analyst
Business Analyst,CGI,India,3-5 Yrs,3.0,5.0,8.5-11 Lacs PA,850000.0,1100000.0,Should have worked on most of the Financial ModulesShould be able to translate High lev...,"['Robot Framework', 'Confluence', 'Jira', 'Xray Test Management', 'Management', 'Framework', 'X-Ray', 'Robot']",1 day ago,https://www.naukri.com/job-listings-business-analyst-cgi-india-3-to-5-years-130726009329,business analyst
Business Analyst,Data Marshall,Hyderabad(Somajiguda),7-12 Yrs,7.0,12.0,10-15 Lacs PA,1000000.0,1500000.0,Role & responsibilities :- Platform Discovery & Product Definition Own the discovery c...,"['Healthcare Business Analyst', 'Dashboard Reporting', 'Ai/Ml In Healthcare', 'Agile / Scrum', 'Azure Devops', 'Hipaa Compliance', 'Business Analytics', 'Gap Analysis']",5 days ago,https://www.naukri.com/job-listings-business-analyst-data-marshall-hyderabad-7-to-12-years-090726025875,business analyst
Business Analyst,CGI,Hybrid - Hyderabad,5-8 Yrs,5.0,8.0,Not Specified,,,Currently. building an end-to-end application as a Freelance BARole & responsibilities ...,"['Agile Methodology', 'Brd', 'Requirement Gathering', 'User Stories', 'Sdlc Life Cycle', 'Gap Analysis', 'Fsd', 'Sdlc']",1 day ago,https://www.naukri.com/job-listings-business-analyst-cgi-hyderabad-5-to-8-years-140726017661,business analyst
Business Analyst,Sunbrilo Technology,Remote,15-24 Yrs,15.0,24.0,15-20 Lacs PA,1500000.0,2000000.0,Shift Time 4PM to 1AM . Location: Remote . Kindly update your resume as per the above J...,"['Business Analyst', 'Business Analytics', 'Business Analysis', 'Healthcare', 'Clinical Documentation', 'Process Analysis', 'Documentation', 'Clinical']",1 day ago,https://www.naukri.com/job-listings-business-analyst-sunbrilo-technology-pune-15-to-24-years-110726014958,business analyst
Business Analyst,Drucare,Hyderabad,Not Specified,,,Unpaid,,,Not Specified,[],Starts in 1-3 months,https://www.naukri.com/job-listings-business-analyst-drucare-pvt-ltd-hyderabad-0-to-7-years-090726506438,business analyst
Business Analyst,Talworx,Hybrid - Hyderabad,6-11 Yrs,6.0,11.0,15-20 Lacs PA,1500000.0,2000000.0,CBAP or equivalent certification is advantageous Skills & Experience RequiredFinancial ...,"['Requirement Gathering', 'Business Analysis', 'Business Analytics', 'Power BI', 'Requirements', 'Analytics', 'Analysis']",4 days ago,https://www.naukri.com/job-listings-business-analyst-talworx-solutions-hyderabad-6-to-11-years-110726009193,business analyst
Business Analyst,Persistent,Hyderabad,8-12 Yrs,8.0,12.0,Not Specified,,,"Bachelors or master s degree in finance, Business Administration, or related fieldExper...","['Capital Market', 'Business Analyst', 'Requirements Gathering & Analysis', 'Requirements', 'Business Analysis', 'Requirement Gathering', 'Analysis', 'Requirement Analysis']",Just now,https://www.naukri.com/job-listings-business-analyst-persistent-hyderabad-8-to-12-years-150726015215,business analyst
Business Analyst,Relevantz Technology Services,Chennai,5-8 Yrs,5.0,8.0,10-18 Lacs PA,1000000.0,1800000.0,"Bachelors in Business, Information Systems, Computer Science, or related or equivalent ...","['Business Analytics', 'Power BI', 'Bfsi', 'Banking Sector', 'Tableau', 'Business Analysis', 'Analytics']",4 days ago,https://www.naukri.com/job-listings-business-analyst-relevantz-technology-services-chennai-5-to-8-years-100726024922,business analyst
Business Analyst,Kotak Securities Limited,Mumbai (All Areas)(Bandra Kurla Complex),5-8 Yrs,5.0,8.0,Not Specified,,,Experience & Qualification Requirement,"['Capital Market', 'Qa Support', 'Financial Markets', 'Derivative Market', 'Business Analysis', 'Derivatives', 'Quality Assurance', 'Marketing']",2 days ago,https://www.naukri.com/job-listings-business-analyst-kotak-securities-limited-mumbai-all-areas-5-to-8-years-130726002639,business analyst
Business Analyst,NTT DATA BUSINESS SOLUTIONS,Mumbai,6-10 Yrs,6.0,10.0,Not Specified,,,Prepare and maintain: Business Requirement Documents (BRD) Functional Requirement Docum...,"['Erp', 'Open Source Technologies', 'Gap Analysis', 'Agriculture Supply Chain', 'Requirement Gathering', 'Uat', 'Stakeholder Management', 'Open Source']",1 day ago,https://www.naukri.com/job-listings-business-analyst-ntt-data-business-solutions-mumbai-6-to-10-years-130726017265,business analyst
Business Analyst,BCC United,Hyderabad,5-8 Yrs,5.0,8.0,Not Specified,,,Experience leading and managing teams. Ability to manage deliverables effectively while...,"['Github', 'Confluence', 'Data Analytics', 'Information Technology', 'Gap Analysis', 'Sprint', 'Stakeholder Communication', 'Business Analysis']",1 day ago,https://www.naukri.com/job-listings-business-analyst-bcc-united-hyderabad-5-to-8-years-140726503480,business analyst
Business Analyst at A FinTech Company,Talentzo Delhi,Remote,0-5 Yrs,0.0,5.0,14-20 Lacs PA,1400000.0,2000000.0,Preferred candidate profile Proficiency in SQL and Python / R . Experience with Tablea...,"['SQL', 'Business Analysis', 'Python', 'Analysis', 'Company', 'Fintech']",1 week ago,https://www.naukri.com/job-listings-business-analyst-at-a-fintech-company-talentzo-delhi-bengaluru-0-to-5-years-010726031363,business analyst
Business Analyst,PwC India,Bengaluru,6-8 Yrs,6.0,8.0,Not Specified,,,"Drive requirement documentation, testing support, and release planning Preferred candid...","['Business Analysis', 'Sql Queries', 'Us Healthcare', 'Analysis', 'Query', 'SQL', 'Healthcare']",6 days ago,https://www.naukri.com/job-listings-business-analyst-pwc-india-bengaluru-6-to-8-years-080726036421,business analyst
Business Analyst,Barclays,Pune,8-13 Yrs,8.0,13.0,Not Specified,,,"Good understanding of Agile frameworks, including Scrum and Kanban . To be successful a...","['Change Management', 'Business Analysis', 'Analytical', 'Vice President', 'Workflow', 'MS Office', 'Risk Management', 'Macros']",1 day ago,https://www.naukri.com/job-listings-business-analyst-barclays-shared-services-pune-8-to-13-years-130726501764,business analyst
Business Analyst,Barclays,Chennai,8-13 Yrs,8.0,13.0,Not Specified,,,"Good understanding of Agile frameworks, including Scrum and Kanban . To be successful a...","['Change Management', 'Business Analysis', 'Analytical', 'Vice President', 'Workflow', 'MS Office', 'Risk Management', 'Macros']",1 day ago,https://www.naukri.com/job-listings-business-analyst-barclays-shared-services-chennai-8-to-13-years-130726501765,business analyst
Business Analyst,Krazy Bee Services,Bengaluru,1-2 Yrs,1.0,2.0,Not Specified,,,Your information will only be shared with relevant internal stakeholders and will not b...,"['Business Analytics', 'Python', 'SQL', 'Pa', 'Excel', 'Campaign Analytics', 'Mysql', 'Marketing Analytics']",2 weeks ago,https://www.naukri.com/job-listings-business-analyst-krazy-bee-services-bengaluru-1-to-2-years-300626034919,business analyst
Business Analyst,Algoleap Technologies,Hybrid - Bengaluru,7-10 Yrs,7.0,10.0,22.5-37.5 Lacs PA,2250000.0,3750000.0,"Qualifications & Experience. 4+ years of Business Analysis experience, preferably in Op...","['Supply Chain', 'Business Analysis', 'Stakeholder Management', 'Supply', 'Management', 'Analysis']",Just now,https://www.naukri.com/job-listings-business-analyst-algoleap-technologies-bengaluru-7-to-10-years-150726014364,business analyst
Business Analyst,Accenture,Bengaluru,7-12 Yrs,7.0,12.0,Not Specified,,,Project Role : Business AnalystProject Role Description : Analyze an organization and d...,"['Communication Skills', 'Servicenow', 'Requirement Gathering', 'Technical Skills', 'Documentation', 'Workflow', 'Business Process Improvement', 'Research']",5 days ago,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-bengaluru-7-to-12-years-100726914017,business analyst
Business Analyst,Tata Consultancy Services,"Chennai, Bengaluru, Mumbai (All Areas)",3-8 Yrs,3.0,8.0,Not Specified,,,Required Skills: . 3+ years of experience as a Business AnalystStrong experience in req...,"['Ms Visio', 'Brd', 'Uat', 'Frd', 'Visio', 'Microsoft', 'Business Analysis']",1 week ago,https://www.naukri.com/job-listings-business-analyst-tata-consultancy-services-chennai-bengaluru-mumbai-all-areas-3-to-8-years-070726023185,business analyst
AI-Business Analyst,Unitforce Technologies Consulting,Bengaluru,2-5 Yrs,2.0,5.0,Not Specified,,,Collaborate with cross-functional teams to identify business requirements and dev...,"['Project Management', 'Business Requirements', 'Gap Analysis', 'Documentation', 'Presentation Skills', 'Business Analysis', 'Uat', 'Process Improvement']",1 day ago,https://www.naukri.com/job-listings-ai-business-analyst-unitforce-technologies-consulting-pvt-ltd-bengaluru-2-to-5-years-130726504441,business analyst
Business Analyst,Tata Consultancy Services,"Pune, Chennai, Bengaluru",4-8 Yrs,4.0,8.0,Not Specified,,,Location: Thane / Bangalore/Chennai/Pune/NCR 1. Strong functional background and unders...,"['Payment Domain', 'Business Analysis', 'Payments', 'Stakeholder Management', 'Management', 'Analysis', 'Dns']",4 days ago,https://www.naukri.com/job-listings-business-analyst-tata-consultancy-services-pune-chennai-bengaluru-4-to-8-years-100726018451,business analyst
Business Analyst,SS&C Technologies,Bengaluru,2-7 Yrs,2.0,7.0,Not Specified,,,"Minimum ten years business analysis, BPM and modelling experience. . Develop relevant a...","['Gap Analysis', 'Business Strategy', 'Business Processes', 'Business Analysis', 'Business Analyst', 'Business Planning', 'Financial Services', 'Investment Analysis']",1 day ago,https://www.naukri.com/job-listings-business-analyst-ss-c-technologies-bengaluru-2-to-7-years-140726502701,business analyst
Business Analyst,Iron Mountain,Bengaluru,5-10 Yrs,5.0,10.0,Not Specified,,,Minimum of 5 years of experience in a dedicated business analysis role. . Strong knowle...,"['Business Services', 'Data Analytics', 'Business Analysis', 'Project Management', 'Information Management', 'Project Delivery', 'Stakeholder Management', 'User Acceptance Testing']",1 day ago,https://www.naukri.com/job-listings-business-analyst-regency-technologies-bengaluru-5-to-10-years-130726502111,business analyst
Business Analyst,ITC Infotech,Kolkata,1-5 Yrs,1.0,5.0,Not Specified,,,Location: Kolkata Experience: 24 Years Immediate Joiners Preferred . Key Responsibili...,"['Business Analysis', 'Requirement Gathering', 'Coordination With Senior Business Stakeholders', 'Converting Requirements Into Solution', 'Requirements', 'Senior', 'Analysis', 'Coordination']",1 day ago,https://www.naukri.com/job-listings-business-analyst-itc-infotech-kolkata-1-to-5-years-140726034308,business analyst
Business Analyst- Manufacturing,Rarr Technologies,Bengaluru,8-12 Yrs,8.0,12.0,Not Specified,,,"Qualifications. Bachelors or Masters degree in Engineering, Information Technology, Com...","['Erp', 'Usage', 'Business Analysis', 'Analytical', 'Business Process Mapping', 'Stakeholder Management', 'Continuous Improvement', 'Manufacturing Operations']",1 day ago,https://www.naukri.com/job-listings-business-analyst-manufacturing-rarr-technologies-bengaluru-8-to-12-years-130726502092,business analyst
Business Analyst,Hackajob,"Hyderabad, Pune, Bengaluru",6-11 Yrs,6.0,11.0,32.5-40 Lacs PA,3250000.0,4000000.0,Working in an international Clients base environment but also as part of an Offshore or...,"['Business Analytics', 'Financial Analytics', 'Banking Analytics', 'Reconciliation', 'Agile', 'Scrum', 'SQL', 'Business Analysis']",2 weeks ago,https://www.naukri.com/job-listings-business-analyst-hackajob-hyderabad-pune-bengaluru-6-to-11-years-300626034846,business analyst
Business Analyst LOS LMS,Protiviti India,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",5-8 Yrs,5.0,8.0,10-11 Lacs PA,1000000.0,1100000.0,"Qualification: Any GraduateExperience in requirement gathering, documentation, and test...","['Api Integration', 'Business Analyst', 'Brd', 'Frd', 'Stakeholder Management', 'Los', 'Lms', 'Nbfc']",1 day ago,https://www.naukri.com/job-listings-business-analyst-los-lms-protiviti-india-mumbai-suburban-navi-mumbai-mumbai-all-areas-5-to-8-years-140726025006,business analyst
Business Analyst,Apex Group,"Pune, Bengaluru",7-12 Yrs,7.0,12.0,Not Specified,,,"Apex operates a direct sourcing model and where agency assistance is required, the Tale...","['Talent Acquisition', 'Recruitment', 'Administration', 'Business Analyst', 'Apex', 'Business Analysis', 'Acquisition']",1 day ago,https://www.naukri.com/job-listings-business-analyst-apex-fund-services-llp-pune-bengaluru-7-to-12-years-140726500149,business analyst
Business Analyst Trade Finance,Newgen,Mumbai (All Areas),3-6 Yrs,3.0,6.0,Not Specified,,,We are strengthening our Banking capabilities and looking out for experienced bankers w...,"['Lending Operations', 'Credit Underwriting', 'Business Analysis', 'Clos', 'Lending', 'Digital Lending', 'Requirement Gathering', 'Rlos']",Just now,https://www.naukri.com/job-listings-business-analyst-trade-finance-newgen-mumbai-all-areas-3-to-6-years-150726016227,business analyst
Demand Business Analyst,Ecolab Global Services,Pune,8-13 Yrs,8.0,13.0,Not Specified,,,Preferred Qualifications: .,"['Business Analyst', 'Business Intelligence', 'Power BI', 'Process Mapping', 'Bi Tools', 'Tableau', 'Jira', 'Devops']",1 day ago,https://www.naukri.com/job-listings-demand-business-analyst-ecolab-global-services-private-limited-pune-8-to-13-years-130726936109,business analyst
Business Analyst,Newgen,Pune,4-7 Yrs,4.0,7.0,Not Specified,,,"Facilitate structured meetings, requirement workshops, and executive presentations to c...","['Loan Origination System', 'Loan Management System', 'Business Lending', 'Los', 'Loan Origination', 'Lending', 'Brd', 'Requirement Gathering']",1 day ago,https://www.naukri.com/job-listings-business-analyst-newgen-pune-4-to-7-years-130726013903,business analyst
Python Developer,Persistent,Bengaluru,3-7 Yrs,3.0,7.0,Not Specified,,,"Expertise You?ll Bring. A Bachelor of Science degree in Computer Science, Engineering o...","['Python Development', 'Css', 'Do', 'Bootstrap', 'Jquery', 'Healthcare', 'SQL', 'Git']",1 week ago,https://www.naukri.com/job-listings-python-developer-persistent-systems-limited-bengaluru-3-to-7-years-171024011437,python developer
Python Software Developer,Incedo,Pune,3-4 Yrs,3.0,4.0,9-10 Lacs PA,900000.0,1000000.0,Participate in code reviews to improve overall quality of the software. . Desired Candi...,"['Api Rest', 'Linux', 'Python', 'Api Design And Development', 'Django', 'Flask', 'Design', 'Software']",1 day ago,https://www.naukri.com/job-listings-python-software-developer-incedo-pune-3-to-4-years-140726015511,python developer
Python Developer (@Infosys),Infosys,"Hybrid - Kolkata, Hyderabad, Bengaluru",5-10 Yrs,5.0,10.0,Not Specified,,,"Educational Requirements . MCA, MSc, MTech, Bachelor of Engineering, BCA, BSc, BTech Ba...","['Django', 'Python', 'Flask', 'Angularjs', 'Full Stack', 'Angular', 'Stack', 'Python Development']",1 week ago,https://www.naukri.com/job-listings-python-developer-infosys-infosys-kolkata-hyderabad-bengaluru-5-to-10-years-150126031660,python developer
python developer,Tata Consultancy Services,"Chennai, Bengaluru, Mumbai (All Areas)",6-8 Yrs,6.0,8.0,Not Specified,,,"Required Technical Skill Set- Python, Data Science, Core Java E2 . Desired Experience R...","['Java', 'Python', 'Data Science', 'Django', 'Development', 'Python Development', 'Data', 'Science']",2 weeks ago,https://www.naukri.com/job-listings-python-developer-tata-consultancy-services-chennai-bengaluru-mumbai-all-areas-6-to-8-years-260326016159,python developer
Python Developer,Limish,Chennai,0-1 Yrs,0.0,1.0,Not Specified,,,";Job Summary: ;Develop Python-based applications, automation tools and backend servic...","['Backend', 'Django', 'Analytical', 'Debugging', 'Automation Tools', 'Programming', 'SQL', 'Python']",1 day ago,https://www.naukri.com/job-listings-python-developer-limish-chennai-0-to-1-years-130726502460,python developer
Python Developer (Gen AI),Cognizant,"Hybrid - Chennai, Coimbatore, Bengaluru",3-5 Yrs,3.0,5.0,Not Specified,,,Python & Generative AI DeveloperLocationBangalore / Hyderabad / Chennai / Pune / Remote...,"['Python', 'Generative Ai', 'Rag', 'Llm', 'SQL', 'Artificial Intelligence', 'Development', 'Python Development']",Just now,https://www.naukri.com/job-listings-python-developer-gen-ai-cognizant-chennai-coimbatore-bengaluru-3-to-5-years-150726015145,python developer
Python Developer,Ocean Software Technologies,Bengaluru,0-1 Yrs,0.0,1.0,Not Specified,,,Ocean Software Technologies is looking for Python Developer to join our dynamic team an...,"['Rest', 'Python', 'Css', 'Github', 'Data Processing', 'Python Development', 'Machine Learning', 'Javascript']",5 days ago,https://www.naukri.com/job-listings-python-developer-ocean-software-technologies-bengaluru-0-to-1-years-090726500369,python developer
